stream_title,stream_url,stream_status,stream_type,is_rewind,category,poi,poi_detail,provider,provider_url,address,latitude,longitude,last_updated
国道4号　栃福橋南,https://ktr.mlit.go.jp/utunomiya/utunomiya00306.html,TRUE,image,FALSE,道路,栃福橋南,,宇都宮国道事務所,https://www.ktr.mlit.go.jp/utunomiya/utunomiya_index002.html,栃木県那須郡那須町大字豊原乙1958-1,37.01977,140.121008,2024-04-21 16:51:51
国道4号　柏沼チェーン着脱所,https://www.ktr.mlit.go.jp/utunomiya/utunomiya00307.html,TRUE,image,FALSE,道路,柏沼チェーン着脱所,,宇都宮国道事務所,https://www.ktr.mlit.go.jp/utunomiya/utunomiya_index002.html,栃木県那須郡那須町郡那須郡那須町豊原223,37.01977,140.121008,2024-04-21 17:04:58
ライブカメラ | 開田高原公式ページ,https://kaidakogen.jp/livecamera/,TRUE,image,FALSE,山岳,開田高原,開田高原　一本木亭,開田高原公式ホームページ,https://kaidakogen.jp/,長野県木曽郡木曽町開田高原末川5552-8,35.842455,137.691534,2024-04-21 16:52:43
Live Camera Axis M1135 - YouTube,https://www.youtube.com/watch?v=NOg7HEJdj1M,FALSE,video,TRUE,道路,株式会社カナン前の道路,株式会社カナン,株式会社カナン,https://kanan-hatori.co.jp/,福島県岩瀬郡岩瀬郡天栄村田良尾芝草1-3795,37.749957,140.467734,2024-04-21 16:56:33
四万温泉 柏屋カフェ周辺（新湯地区、桐木平商店街）のライブ映像,https://www.onsen-cafe.com/camera,TRUE,image,FALSE,河川,四万ブルーの四万川,四万温泉 柏屋カフェ,四万温泉柏屋カフェ、四万温泉でランチ、スイーツ、コーヒー,https://www.onsen-cafe.com/,群馬県吾妻郡中之条町四万4237-45,36.589843,138.841075,2024-04-21 17:21:48
ライブカメラ | 群馬 四万温泉柏屋旅館【公式サイト】,https://www.kashiwaya.org/live/,TRUE,image,FALSE,道路,四万温泉柏屋旅館,,四万温泉柏屋旅館 貸切露天風呂が人気の群馬県の温泉旅館 | 公式サイト,https://www.kashiwaya.org/,群馬県吾妻郡中之条町四万3829,36.589843,138.841075,2024-04-21 17:22:30
ライブカメラ | 御在所ロープウエイ,https://www.gozaisho.co.jp/livecamera/,TRUE,image,FALSE,山岳,御在所ロープウエイ,御在所ロープウエイ山上公園駅,御在所ロープウエイ | 三重県菰野町 湯の山温泉 | 広がる大自然、大パノラマ、15分間の空中散歩,https://www.gozaisho.co.jp/,三重県三重郡菰野町大字菰野 ロープウェイ山上公園駅,35.008765,136.469361,2024-04-21 17:27:41
赤倉観光リゾートスキー場｜ライブカメラ詳細｜上越妙高タウン情報,https://www.joetsu.ne.jp/livecamera-detail?cid=59,TRUE,image,FALSE,山岳,赤倉観光リゾートスキー場,,ライブカメラ | 上越妙高タウン情報,https://www.joetsu.ne.jp/livecamera,新潟県妙高市田切216,37.025265,138.253485,2024-04-22 11:44:55
ライブカメラ ｜ 上高地西糸屋山荘オフィシャルページ,https://www.nishiitoya.com/camera/,TRUE,image,TRUE,山岳,,上高地西糸屋山荘,上高地西糸屋山荘オフィシャルページ,https://www.nishiitoya.com/,長野県松本市安曇上高地4469-1,36.221169,137.686649,2024-04-22 11:47:42
ライブカメラ | 長野の別荘地ならアルピコ蓼科高原リゾート【公式】,https://www.alpico.co.jp/tateshina/livecamera/,TRUE,image,FALSE,道路,,蓼科高原別荘地,長野の別荘地ならアルピコ蓼科高原リゾート【公式】,https://www.alpico.co.jp/tateshina/,長野県茅野市北山蓼科4035-2016,35.995571,138.158896,2024-04-22 11:57:50
