"id","stream_title","stream_url","stream_status","stream_type","is_rewind","category","poi","poi_detail","provider","provider_url","address","latitude","longitude","last_updated"
"yt_fndY3LREfdE","【iTSCOMライブ配信】二子玉川 ライブカメラ LIVE Camera/ Tokyo Futako Tamagawa","https://www.youtube.com/watch?v=fndY3LREfdE","True","video","False","","","","iTSCOM","https://www.youtube.com/channel/UCPPFGmTUyM4iDIgp2_zJi5g","","","","2025-01-28 01:22:13"
"yt_AADZvNj8db4","【iTSCOMライブ配信】用賀 ライブカメラ LIVE Camera/ Tokyo Metropolitan Expressway Yoga Tollgate","https://www.youtube.com/watch?v=AADZvNj8db4","True","video","False","","","","iTSCOM","https://www.youtube.com/channel/UCPPFGmTUyM4iDIgp2_zJi5g","","35.626585","139.632716","2025-01-28 00:41:23"
"yt_ZW5vLJrxaPU","宮崎市木崎浜ライブカメラ【宮崎県 波情報ライブカメラ ii-nami.com】","https://www.youtube.com/watch?v=ZW5vLJrxaPU","True","video","False","","","","ii-nami com","https://www.youtube.com/channel/UCAu_SrUI1IBv8wFgYSi6kVg","","31.827745","131.452715","2025-01-28 02:19:57"
"yt_IkkdW2A40V8","川南町伊倉ヶ浜ライブカメラ【宮崎県 波情報ライブカメラ ii-nami.com】","https://www.youtube.com/watch?v=IkkdW2A40V8","True","video","False","","","","ii-nami com","https://www.youtube.com/channel/UCAu_SrUI1IBv8wFgYSi6kVg","","32.194972","131.5544","2025-01-28 00:41:46"
"yt_baGecyHT2tE","日南市梅ヶ浜ライブカメラ【宮崎県 波情報ライブカメラ ii-nami.com】","https://www.youtube.com/watch?v=baGecyHT2tE","True","video","False","","","","ii-nami com","https://www.youtube.com/channel/UCAu_SrUI1IBv8wFgYSi6kVg","","31.58412","131.410008","2025-01-28 00:41:21"
"yt_nmd1-UnHdvU","江口浜ライブカメラ【鹿児島県 波情報ライブカメラ ii-nami.com】","https://www.youtube.com/watch?v=nmd1-UnHdvU","True","video","False","","","","ii-nami com","https://www.youtube.com/channel/UCAu_SrUI1IBv8wFgYSi6kVg","","31.647486","130.321636","2025-01-28 00:40:10"
"yt_pgEt-WWLfLM","串間市恋ヶ浦ライブカメラ【宮崎県 波情報ライブカメラ ii-nami.com】","https://www.youtube.com/watch?v=pgEt-WWLfLM","True","video","False","","","","ii-nami com","https://www.youtube.com/channel/UCAu_SrUI1IBv8wFgYSi6kVg","","31.412323","131.343502","2025-01-28 00:41:50"
"yt_RfA3iAT7Opc","福岡県芥屋ライブカメラ【宮崎県 波情報ライブカメラ ii-nami.com】","https://www.youtube.com/watch?v=RfA3iAT7Opc","True","video","False","","","","ii-nami com","https://www.youtube.com/channel/UCAu_SrUI1IBv8wFgYSi6kVg","","33.585717","130.108402","2025-01-28 00:41:51"
"yt_Ho1ZvKgTrLE","福岡県釣川ライブカメラ【宮崎県 波情報ライブカメラ ii-nami.com】","https://www.youtube.com/watch?v=Ho1ZvKgTrLE","True","video","False","","","","ii-nami com","https://www.youtube.com/channel/UCAu_SrUI1IBv8wFgYSi6kVg","","33.852798","130.501337","2025-01-28 00:40:43"
"yt_tKyXHlBs7ZM","宮崎市一ツ葉ライブカメラ【宮崎県 波情報ライブカメラ ii-nami.com】","https://www.youtube.com/watch?v=tKyXHlBs7ZM","True","video","False","","","","ii-nami com","https://www.youtube.com/channel/UCAu_SrUI1IBv8wFgYSi6kVg","","31.981258","131.483374","2025-01-28 00:41:08"
"yt_AinAZQgQp_s","【LIVE】仙台駅前の様子／【LIVE】突撃！ナマイキＴＶ「デパスパ一番のり！」同時配信（毎週月～金午前10時頃）","https://www.youtube.com/watch?v=AinAZQgQp_s","True","video","False","","","","khb東日本放送","https://www.youtube.com/channel/UCkW_baVbq6aGPWeYY4hOPCA","","38.260324","140.881821","2025-01-28 00:40:32"
"yt_hVGdqZAd1xA","【Live Stream】久里浜遠望カメラ　神奈川県横須賀市 The sky of Yokosuka, Japan","https://www.youtube.com/watch?v=hVGdqZAd1xA","True","video","True","","","","kimopy (kimopy)","https://www.youtube.com/channel/UCTTbcfIcioz1eGwlLIYmDIg","","","","2025-01-28 02:16:11"
"yt_FCwlyfXcLNE","瀬戸内海ライブカメラ (岡山市南区)","https://www.youtube.com/watch?v=FCwlyfXcLNE","True","","True","","","","kogushi","https://www.youtube.com/channel/UCVMMnH7mTPksymujI9jwyjQ","","34.57853","134.043367","2025-01-28 00:43:12"
"yt_Txb-lq5bvNA","HIROHAI佐伯総合スポーツ公園①","https://www.youtube.com/watch?v=Txb-lq5bvNA","True","video","True","","","","m.y","https://www.youtube.com/channel/UCHsm0dVYVf0Fp3snFE11DjA","","34.368794","132.19497","2025-01-28 00:40:46"
"yt_LoB05-nvmFU","HIROHAI佐伯総合スポーツ公園③","https://www.youtube.com/watch?v=LoB05-nvmFU","True","","True","","","","m.y","https://www.youtube.com/channel/UCHsm0dVYVf0Fp3snFE11DjA","","34.370144","132.195599","2025-01-28 00:41:58"
"yt_-JyiKauoFF0","白浜カメラ 伊豆白浜海岸 shirahama surfcam","https://www.youtube.com/watch?v=-JyiKauoFF0","True","","True","","","","mariner1173","https://www.youtube.com/channel/UCnJUV9-pfhyWQdQbvTJ84QA","","34.689455","138.972856","2025-01-28 00:42:23"
